Variable,Coefficient,Abs_Coef
NI_Log,-2.684602880105023,2.684602880105023
NI_Lag1,8.172876971824144e-05,8.172876971824144e-05
NI_Momentum,6.05248138656433e-05,6.05248138656433e-05
NM_Lag1,4.2383294629235374e-05,4.2383294629235374e-05
NM_Volatility,-4.1832269697067856e-05,4.1832269697067856e-05
NM_Momentum,3.595973944568188e-05,3.595973944568188e-05
NM_Lag2,-1.8175263465995936e-05,1.8175263465995936e-05
NI_Volatility,-1.3626270665842659e-05,1.3626270665842659e-05
NI_Lag2,1.002349076007633e-05,1.002349076007633e-05
NI_x_NM,-1.6422703797168346e-10,1.6422703797168346e-10
